机房位置,项目平台,厂家信息,设备类型,U数,导轨位置,机柜号,主机名,IP地址,远控卡ip,远控卡ip,硬件信息,序列号,供应商,CPU,硬盘,内存,状态,是否上传
idc,platform,manufacturer,machine_type,uhight ,railnum,cabinet, hostname,ipadd,manager_ip,remote_card_ip,product_name,serial_number,suppliers,cpu,disk,memory, status,
兴议,香蕉球,dell,物理机,1,28,E01,XJQ-WEB-PB-1-1,10.0.10.1,,172.16.1.1,r430,59P9XJ2,,E5-2660 v4 @ 2.00GHz --- 2*14C*2=56,HDD ------------ 8*600G RAID-10=2T,16GB*4=64GB,已使用,y
兴议,香蕉球,dell,物理机,1,26,E01,XJQ-WEB-PB-1-2,10.0.10.2,,172.16.1.2,r430,59P2XJ2,,E5-2660 v4 @ 2.00GHz --- 2*14C*2=56,HDD ------------ 8*600G RAID-10=2T,16GB*4=64GB,已使用,y
兴议,香蕉球,dell,物理机,2,24,E01,XJQ-VS-VM-1-1,10.0.16.1,,172.16.4.1,r730,5CG4XJ2,, E5-2699 v4 @ 2.20GH  --- 2*22C*2=88,SSD ------------16*960G RAID-10=7T,32GB*24=768GB,已使用,y
兴议,香蕉球,dell,物理机,2,21,E01,XJQ-VS-VM-1-2,10.0.16.2,,172.16.4.2,r730,5CG2XJ2,, E5-2699 v4 @ 2.20GH  --- 2*22C*2=88,SSD ------------16*960G RAID-10=7T,32GB*24=768GB,已使用,y
兴议,香蕉球,dell,物理机,2,18,E01,XJQ-VS-VM-1-3,10.0.16.3,,172.16.4.3,r730xd,54T1XJ2,, E5-2699 v4 @ 2.20GH  --- 2*22C*2=88,HDD------------24*1.2T RAID-10=13T,32GB*24=768GB,已使用,y
兴议,香蕉球,dell,物理机,2,6,E01,XJQ-VS-VM-1-4,10.0.16.4,,172.16.4.4,r730xd,19869K2,, E5-2699 v4 @ 2.20GH  --- 2*22C*2=88,HDD------------24*1.2T RAID-10=13T,32GB*16=512GB,已使用,y
兴议,香蕉球,dell,物理机,2,12,E02,XJQ-VS-VM-1-6,10.0.16.6,,172.16.4.5,r820,CMH5X72,,E5-4610 v2 @ 2.30GHz --- 4*8C*2=64,HDD------------24*1.2T RAID-10=13T,32GB*16=512GB,已使用,y
兴议,香蕉球,易星,物理机,2,3,E02,XJQ-MG-ACCESS-1,10.4.230.2,192.168.14.2,172.16.6.1,ZP-RM20082U,ZM174S036019,易星_周黎明,,,,已使用,y
兴议,香蕉球,dell,物理机,2,9,E01,XJQ-DB-BK-1-1,10.0.15.110,192.168.11.110,172.16.3.1,r730,9XQ3XJ2,,,SSD ----17*750GB RAID-1=200GB,RAID-1=544GB,已使用,y
兴议,香蕉球,dell,物理机,2,9,E02,XJQ-DB-PD-1-4,10.0.12.13,192.168.11.13,172.16.2.13,r730,96VHNK2,, E5-2699 v4 @ 2.20GHz  --- 2*22C*2=88,SSD--------------6*960G RAID-1=900GB,4*RAID-0=900GB,已使用,y
兴议,香蕉球,dell,物理机,2,6,E02,XJQ-DB-PD-1-3,10.0.12.12,192.168.11.12,172.16.2.12,r730,96QKNK2,, E5-2699 v4 @ 2.20GHz  --- 2*22C*2=88,SSD--------------6*960G RAID-1=900GB,4*RAID-0=900GB,已使用,y
兴议,香蕉球,h3c,防火墙,1,40,E01,XJQ-FW-1-1,10.0.0.1,,,F1005,219801A0X0916CQ00048,H3C_赵群鹤,,,,已使用,y
兴议,香蕉球,h3c,防火墙,1,38,E01,XJQ-FW-1-2,10.0.0.1,,,F1005,219801A0X0916CQ00205,H3C_赵群鹤,,,,已使用,y
兴议,香蕉球,h3c,交换机,1,36,E01,XJQ-SW-1-1,192.168.120.2,,,S5560-34C-EI,210235A1QMH173000266,H3C_赵群鹤,,,,已使用,y
兴议,香蕉球,h3c,交换机,1,34,E01,XJQ-SW-1-2,192.168.120.2,,,S5560-34C-EI,210235A1QMH173000233,H3C_赵群鹤,,,,已使用,y
兴议,香蕉球,h3c,交换机,1,32,E01,XJQ-lb-1-1,192.168.140.2,,, L1000-S,210235A1MBH172000012,H3C_赵群鹤,,,,已使用,y
兴议,香蕉球,h3c,交换机,1,30,E01,XJQ-lb-1-2,192.168.140.2,,, L1000-S,210235A1MBH176000002,H3C_赵群鹤,,,,已使用,y
兴议,91彩站,dell,物理机,2,40,E04,91cz-DB-COM1,10.0.12.70,,172.16.2.70,r730xd,F2XKNK2,沃趣_江南,E5-2680 v4 @ 2.40GHz --- 2*14C*2=56,,32GB*16=512GB,已使用,y
兴议,91彩站,dell,物理机,2,36,E04,91cz-DB-COM2,10.0.12.71,,172.16.2.71,r730xd,F2YKNK2,沃趣_江南,E5-2680 v4 @ 2.40GHz --- 2*14C*2=56,,32GB*16=512GB,已使用,y
兴议,91彩站,dell,物理机,2,34,E04,91cz-DB-COM3,10.0.12.72,,172.16.2.72,r730xd,F2ZGNK2,沃趣_江南,E5-2680 v4 @ 2.40GHz --- 2*14C*2=56,,32GB*16=512GB,已使用,y
